date,description,category,incident_code,pd_district,dayofweek
2017-12-20,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,MISSION,Wednesday
2017-12-07,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Thursday
2017-12-27,HUMAN TRAFFICKING,PROSTITUTION,13045,PARK,Wednesday
2017-12-07,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Thursday
2017-12-07,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Thursday
2017-12-07,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Thursday
2017-12-06,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,MISSION,Wednesday
2017-12-01,PIMPING,PROSTITUTION,13030,SOUTHERN,Friday
2017-12-07,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Thursday
2017-12-07,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Thursday
2017-12-07,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Thursday
2017-12-06,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,MISSION,Wednesday
2017-12-07,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Thursday
2017-12-06,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Wednesday
2017-12-08,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,MISSION,Friday
2017-12-07,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Thursday
2017-12-01,ENGAGING IN LEWD CONDUCT - PROSTITUTION RELATED,PROSTITUTION,13111,INGLESIDE,Friday
2017-12-29,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,MISSION,Friday
2017-12-07,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Thursday
2017-12-21,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,CENTRAL,Thursday
2017-12-12,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,MISSION,Tuesday
2017-12-07,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Thursday
2017-12-07,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Thursday
2017-12-07,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Thursday
2017-12-07,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Thursday
2017-12-31,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,MISSION,Sunday
2017-12-07,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Thursday
2017-12-07,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Thursday
2017-12-07,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Thursday
2017-12-07,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Thursday
2017-12-07,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Thursday
2017-12-07,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Thursday
2017-12-19,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,MISSION,Tuesday
2017-12-07,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Thursday
2017-12-06,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Wednesday
2017-12-07,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Thursday
2017-12-07,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Thursday
2017-12-07,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Thursday
2017-12-07,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Thursday
2017-12-07,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Thursday
2017-12-09,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,MISSION,Saturday
2017-12-09,PIMPING,PROSTITUTION,13030,NORTHERN,Saturday
2017-12-07,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,Thursday
2017-12-07,LOITERING FOR PURPOSE OF PROSTITUTION,PROSTITUTION,13075,TARAVAL,Thursday
