date,description,category,incident_code,pd_district,dayofweek
2008-12-31,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,Wednesday
2008-12-30,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,Tuesday
2008-12-31,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,Wednesday
2008-12-30,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,Tuesday
2008-12-31,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,Wednesday
2008-12-31,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,Wednesday
2008-12-31,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,Wednesday
2008-12-30,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,Tuesday
2008-12-30,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,Tuesday
2008-12-17,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,Wednesday
2008-12-20,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,Saturday
2008-12-17,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,Wednesday
2008-12-27,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,Saturday
2008-12-06,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,Saturday
2008-12-31,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,Wednesday
2008-12-06,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,Saturday
2008-12-30,"PROSTITUTION 4,PROMOTING&SECURING",PROSTITUTION & RELATED OFFENSES,576.0,M,Tuesday
2008-12-26,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,Friday
2008-12-20,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,Saturday
2008-12-26,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,Friday
2008-12-20,"PROSTITUTION 3,PROMOTING BUSINESS",PROSTITUTION & RELATED OFFENSES,585.0,K,Saturday
