date,description,category,incident_code,pd_district,Latitude,Longitude,dayofweek
2017-12-27,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.760347336000045,-73.83270525299997,Wednesday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67378484500005,-73.90070072999998,Saturday
2017-12-28,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,40.778830163000066,-73.95398640499997,Thursday
2017-12-08,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67309616500006,-73.90100097099996,Friday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.747448743000064,-73.88579032699994,Saturday
2017-12-14,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.84840119800003,-73.93767303599996,Thursday
2017-12-15,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,40.64278522500007,-74.02002171299995,Friday
2017-12-17,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.68822079700004,-73.91981169999997,Sunday
2017-12-19,"PROSTITUTION 3, PROMOTING UNDER 19",PROSTITUTION & RELATED OFFENSES,584.0,K,40.65802301100007,-73.91262160699995,Tuesday
2017-12-09,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.71319841300004,-73.99241918199994,Saturday
2017-12-19,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67385854500003,-73.90022835899998,Tuesday
2017-12-02,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.643416331000026,-74.02111373099996,Saturday
2017-12-13,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.69586554400007,-73.80053353099999,Wednesday
2017-12-20,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.69635569200005,-73.79986129899999,Wednesday
2017-12-30,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.61456503900007,-74.00029679099998,Saturday
2017-12-16,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,40.87680626100007,-73.84469957,Saturday
2017-12-27,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,40.835892630000046,-73.88339793399997,Wednesday
2017-12-08,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,40.84673910200007,-73.86286351899997,Friday
2017-12-08,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67378484500005,-73.90070072999998,Friday
2017-12-14,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.74642028900007,-73.88945158399997,Thursday
2017-12-14,"PROSTITUTION 3,PROMOTING BUSINESS",PROSTITUTION & RELATED OFFENSES,585.0,Q,40.74642028900007,-73.88945158399997,Thursday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.673722103000046,-73.90115145299995,Saturday
2017-12-01,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67309616500006,-73.90100097099996,Friday
2017-12-19,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67378484500005,-73.90070072999998,Tuesday
2017-12-15,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.747550457000045,-73.88875677499993,Friday
2017-12-20,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,40.671624863000034,-73.89774790999998,Wednesday
2017-12-14,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.84853835500007,-73.93752832699995,Thursday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.84930490000005,-73.93896981199998,Saturday
2017-12-08,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,40.74095065700004,-74.00748221999999,Friday
2017-12-06,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,40.74296417800008,-73.98223182299995,Wednesday
2017-12-28,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,40.77916808200007,-73.95478414599995,Thursday
2017-12-15,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,S,40.598217490000025,-74.08266857899997,Friday
2017-12-10,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.90348934600007,-73.85034201899998,Sunday
2017-12-01,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.88358821100008,-73.82718749799993,Friday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.68822079700004,-73.91981169999997,Saturday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.74643684200005,-73.89542079099994,Saturday
2017-12-14,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,S,40.626672133000056,-74.07564654299993,Thursday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.74643684200005,-73.89542079099994,Saturday
2017-12-09,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,S,40.58739191500007,-74.19104449699995,Saturday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.84930490000005,-73.93896981199998,Saturday
2017-12-29,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.71319841300004,-73.99241918199994,Friday
2017-12-17,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.68822079700004,-73.91981169999997,Sunday
2017-12-01,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.75086299700007,-73.94544468299993,Friday
2017-12-11,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.68720078400003,-73.79457747699998,Monday
2017-12-02,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.76822704000005,-73.87572208599995,Saturday
2017-12-14,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.84853883900007,-73.93842833799994,Thursday
2017-12-17,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.86559123400008,-73.89887415799996,Sunday
2017-12-02,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.85812031300003,-73.93298608199996,Saturday
2017-12-26,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.673722103000046,-73.90115145299995,Tuesday
2017-12-27,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.760347336000045,-73.83270525299997,Wednesday
2017-12-17,LOITERING FOR PROSTITUTION OR TO PATRONIZE,PROSTITUTION & RELATED OFFENSES,617.0,Q,40.69017849400007,-73.79590971,Sunday
2017-12-20,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67309616500006,-73.90100097099996,Wednesday
2017-12-02,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.643416331000026,-74.02111373099996,Saturday
2017-12-14,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.84853835500007,-73.93752832699995,Thursday
2017-12-17,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.86559123400008,-73.89887415799996,Sunday
